NR_041599.1,Acanthopleuribacter pedis strain NBRC 101209 16S ribosomal RNA,Bacteria; Acidobacteria; Holophagae; Acanthopleuribacterales; Acanthopleuribacteraceae; Acanthopleuribacter; pedis; NBRC 101209
NR_042429.1,Actinomyces neuii subsp. anitratus strain DSM 8577 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; neuii; DSM 8577
NR_119011.1,Actinomyces neuii subsp. neuii strain 97/90 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; neuii; 97/90
NR_113354.1,Actinomyces oricola strain JCM 17565 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; oricola; JCM 17565
NR_025559.1,Actinomyces oricola strain R5292 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; oricola; R5292
NR_117358.1,Actinomyces oris strain ATCC 27044 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; oris; ATCC 27044
NR_113060.1,Actinomyces oris strain JCM 16131 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; oris; JCM 16131
NR_104896.1,Actinomyces oris strain WVU 474 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; oris; WVU 474
NR_144691.1,Actinomyces polynesiensis strain MS2 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; polynesiensis; MS2
NR_025379.1,Actinomyces radicidentis strain CCUG 36733 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; radicidentis; CCUG 36733
NR_043523.1,Actinomyces ruminicola strain B71 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; ruminicola; B71
NR_114718.1,Actinomyces slackii strain CCUG 32792 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; slackii; CCUG 32792
NR_041984.1,Actinomyces slackii strain CCUG 32792 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; slackii; CCUG 32792
NR_119155.1,Actinomyces slackii strain NCTC 11923 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; slackii; NCTC 11923
NR_116333.1,Actinomyces timonensis DSM 23838 strain 7400942 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; timonensis; DSM 23838 | 7400942
NR_025364.1,Actinomyces urogenitalis strain CCUG 38702 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; urogenitalis; CCUG 38702
NR_113030.1,Actinomyces viscosus strain JCM 8353 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; viscosus; JCM 8353
NR_026228.1,Actinomyces viscosus strain NCTC 10951 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; viscosus; NCTC 10951
NR_156948.1,Actinomyces vulturis strain VUL7 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; vulturis; VUL7
NR_108476.1,Actinomyces weissii strain 2298 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinomycetales; Actinomycetaceae; Actinomyces; weissii; 2298
NR_125659.1,Actinomycetospora atypica strain NEAU-st4 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinomycetospora; atypica; NEAU-st4
NR_042562.1,Actinomycetospora chiangmaiensis strain YIM 0006 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinomycetospora; chiangmaiensis; YIM 6
NR_112966.1,Actinomycetospora chibensis strain TT04-21 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinomycetospora; chibensis; TT04-21
NR_112968.1,Actinomycetospora chlora strain TT07I-57 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinomycetospora; chlora; TT07I-57
NR_112969.1,Actinomycetospora cinnamomea strain IY07-53 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinomycetospora; cinnamomea; IY07-53
NR_112963.1,Actinomycetospora corticicola strain 014-5 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinomycetospora; corticicola; 014-5
NR_113223.1,Actinomycetospora iriomotensis strain IR73-Li102 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinomycetospora; iriomotensis; IR73-Li102
NR_112965.1,Actinomycetospora lutea strain TT00-04 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinomycetospora; lutea; TT00-04
NR_113222.1,Actinomycetospora rishiriensis strain RI109-Li102 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinomycetospora; rishiriensis; RI109-Li102
NR_112967.1,Actinomycetospora straminea strain IY07-55 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinomycetospora; straminea; IY07-55
NR_112964.1,Actinomycetospora succinea strain TT00-49 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinomycetospora; succinea; TT00-49
NR_149776.1,Actinophytocola algeriensis strain MB20 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinophytocola; algeriensis; MB20
NR_113018.1,Actinophytocola burenkhanensis strain MN08-A0203 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinophytocola; burenkhanensis; MN08-A0203
NR_112955.1,Actinophytocola corallina strain NBRC 105525 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinophytocola; corallina; NBRC 105525
NR_133955.1,Actinophytocola gilvus strain I12A-02593 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinophytocola; gilvus; I12A-02593
NR_116313.1,Actinophytocola oryzae strain GMKU 367 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinophytocola; oryzae; GMKU 367
NR_133956.2,Actinophytocola sediminis strain YIM M13705 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinophytocola; sediminis; YIM M13705
NR_112954.1,Actinophytocola timorensis strain NBRC 105524 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinophytocola; timorensis; NBRC 105524
NR_156873.1,Actinophytocola xanthii strain KCTC 39690 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinophytocola; xanthii; KCTC 39690
NR_116263.1,Actinophytocola xinjiangensis strain QAIII60 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinophytocola; xinjiangensis; QAIII60
NR_109058.1,Actinoplanes abujensis strain A4029 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; abujensis; A4029
NR_118046.1,Actinoplanes atraurantiacus strain Y16 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; atraurantiacus; Y16
NR_026019.1,Actinoplanes auranticolor strain 253 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; auranticolor; 253
NR_115629.1,Actinoplanes auranticolor strain IFO12245 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; auranticolor; IFO12245
NR_146681.1,Actinoplanes bogorensis strain LIPI11-2-Ac043 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; bogorensis; LIPI11-2-Ac043
NR_026287.1,Actinoplanes brasiliensis strain DSM 43805 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; brasiliensis; DSM 43805
NR_115628.1,Actinoplanes brasiliensis strain IFO13938 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; brasiliensis; IFO13938
NR_024739.1,Actinoplanes campanulatus strain IFO 12511 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; campanulatus; IFO 12511
NR_024681.1,Actinoplanes capillaceus strain K95-5561 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; capillaceus; K95-5561
NR_144572.1,Actinoplanes cibodasensis strain LIPI11-2-Ac042 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; cibodasensis; LIPI11-2-Ac042
NR_144571.1,Actinoplanes cibodasensis strain LIPI11-2-Ac042 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; cibodasensis; LIPI11-2-Ac042
NR_024740.1,Actinoplanes consettensis strain IFO 14913 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; consettensis; IFO 14913
NR_112134.1,Actinoplanes consettensis strain JCM 7624 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; consettensis; JCM 7624
NR_042565.1,Actinoplanes couchii strain GW8-1761 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; couchii; GW8-1761
NR_119208.1,Actinoplanes cyaneus strain DSM 46137 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; cyaneus; DSM 46137
NR_040841.1,Actinoplanes cyaneus strain IFO 14990 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; cyaneus; IFO 14990
NR_112098.1,Actinoplanes deccanensis strain IFO 13994 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; deccanensis; IFO 13994
NR_042012.1,Actinoplanes deccanensis strain IMSNU 20026 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; deccanensis; IMSNU 20026
NR_024741.1,Actinoplanes derwentensis strain IFO 14935 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; derwentensis; IFO 14935
NR_112138.1,Actinoplanes derwentensis strain JCM 7556 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; derwentensis; JCM 7556
NR_024742.1,Actinoplanes digitatis strain IFO 12512 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; digitatis; IFO 12512
NR_112133.1,Actinoplanes digitatis strain JCM 3060 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; digitatis; JCM 3060
NR_112099.1,Actinoplanes durhamensis strain IFO 14914 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; durhamensis; IFO 14914
NR_042013.1,Actinoplanes durhamensis strain IMSNU 22124 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; durhamensis; IMSNU 22124
NR_112135.1,Actinoplanes durhamensis strain JCM 7625 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; durhamensis; JCM 7625
NR_112100.1,Actinoplanes ferrugineus strain IFO 15555 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; ferrugineus; IFO 15555
NR_042014.1,Actinoplanes ferrugineus strain IMSNU 22125 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; ferrugineus; IMSNU 22125
NR_112140.1,Actinoplanes ferrugineus strain JCM 3277 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; ferrugineus; JCM 3277
NR_121704.1,Actinoplanes friuliensis strain HAG 010964 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; friuliensis; HAG 10964
NR_104746.1,Actinoplanes friuliensis strain HAG 010964 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; friuliensis; HAG 10964
NR_112101.1,Actinoplanes globisporus strain IFO 13912 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; globisporus; IFO 13912
NR_040862.1,Actinoplanes globisporus strain JCM 3186 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; globisporus; JCM 3186
NR_118336.1,Actinoplanes hulinensis strain NEAU-M9 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; hulinensis; NEAU-M9
NR_024743.1,Actinoplanes humidus strain IFO 14915 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; humidus; IFO 14915
NR_112132.1,Actinoplanes ianthinogenes strain IFO 13996 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; ianthinogenes; IFO 13996
NR_114744.1,Actinoplanes ianthinogenes strain IMSNU 20032 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; ianthinogenes; IMSNU 20032
NR_024744.1,Actinoplanes italicus strain IFO 13911 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; italicus; IFO 13911
NR_112137.1,Actinoplanes italicus strain JCM 3165 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; italicus; JCM 3165
NR_147781.1,Actinoplanes lichenis strain LDG1-22 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; lichenis; LDG1-22
NR_042361.1,Actinoplanes liguriensis strain A/6353 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; liguriensis; A/6353
NR_114745.1,Actinoplanes liguriensis strain IMSNU 22127 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; liguriensis; IMSNU 22127
NR_024745.1,Actinoplanes lobatus strain IFO 12513 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; lobatus; IFO 12513
NR_145623.1,Actinoplanes luteus strain A-T 5190 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; luteus; A-T 5190
NR_133687.1,Actinoplanes lutulentus strain NEAU-GRX6 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; lutulentus; NEAU-GRX6
NR_074576.1,Actinoplanes missouriensis strain 431 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; missouriensis; 431
NR_112102.1,Actinoplanes missouriensis strain IFO 13243 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; missouriensis; IFO 13243
NR_042015.1,Actinoplanes missouriensis strain IMSNU 22051 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; missouriensis; IMSNU 22051
NR_114332.1,Actinoplanes missouriensis strain NBRC 102363 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; missouriensis; NBRC 102363
NR_133688.1,Actinoplanes nipponensis strain IFO 14063 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; nipponensis; IFO 14063
NR_112131.1,Actinoplanes octamycinicus strain IFO 14524 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; octamycinicus; IFO 14524
NR_112103.1,Actinoplanes palleronii strain IFO 14916 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; palleronii; IFO 14916
NR_042016.1,Actinoplanes palleronii strain IMSNU 20038 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; palleronii; IMSNU 20038
NR_112136.1,Actinoplanes palleronii strain JCM 7626 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; palleronii; JCM 7626
NR_119209.1,Actinoplanes philippinensis strain DSM 43019 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; philippinensis; DSM 43019
NR_119014.1,Actinoplanes philippinensis strain DSM 43019 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; philippinensis; DSM 43019
NR_115632.1,Actinoplanes philippinensis strain IFO 13878 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; philippinensis; IFO 13878
NR_026018.1,Actinoplanes philippinensis strain P-15 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; philippinensis; P-15
NR_158079.1,Actinoplanes ramoplaninifer strain ATCC 33076 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; ramoplaninifer; ATCC 33076
NR_024747.1,Actinoplanes rectilineatus strain IFO 13941 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; rectilineatus; IFO 13941
NR_026288.1,Actinoplanes regularis strain DSM 43151 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; regularis; DSM 43151
NR_112104.1,Actinoplanes regularis strain IFO 12514 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; regularis; IFO 12514
NR_145911.1,Actinoplanes rhizophilus strain NEAU-A-2 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; rhizophilus; NEAU-A-2
NR_113386.1,Actinoplanes rishiriensis strain RI50-RCA114 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; rishiriensis; RI50-RCA114
NR_159259.1,Actinoplanes sediminis strain M4I47 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; sediminis; M4I47
NR_118459.1,Actinoplanes siamensis strain A-T 6646 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; siamensis; A-T 6646
NR_116348.1,Actinoplanes sichuanensis strain 03-723 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; sichuanensis; 03-723
NR_152657.1,Actinoplanes subglobosus strain A-T 5400 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; subglobosus; A-T 5400
NR_125543.1,Actinoplanes subtropicus strain RP-AC33 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; subtropicus; RP-AC33
NR_114944.1,Actinoplanes teichomyceticus strain DSM 43866 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; teichomyceticus; DSM 43866
NR_040861.1,Actinoplanes teichomyceticus strain IFO 13999 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; teichomyceticus; IFO 13999
NR_114746.1,Actinoplanes teichomyceticus strain IMSNU 20043 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; teichomyceticus; IMSNU 20043
NR_112828.1,Actinoplanes tereljensis strain MN07-A0371 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; tereljensis; MN07-A0371
NR_112827.1,Actinoplanes toevensis strain MN07-A0368 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; toevensis; MN07-A0368
NR_144573.1,Actinoplanes tropicalis strain LIPI11-2-Ac034 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; tropicalis; LIPI11-2-Ac034
NR_112105.1,Actinoplanes utahensis strain IFO 13244 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; utahensis; IFO 13244
NR_042017.1,Actinoplanes utahensis strain IMSNU 20044 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; utahensis; IMSNU 20044
NR_116347.1,Actinoplanes xinjiangensis strain 03-8772 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Micromonosporales; Micromonosporaceae; Actinoplanes; xinjiangensis; 2510008
NR_116421.1,Actinopolymorpha alba strain YIM 48868 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae; Actinopolymorpha; alba; YIM 48868
NR_116324.1,Actinopolymorpha cephalotaxi strain I06-2230 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae; Actinopolymorpha; cephalotaxi; I06-2230
NR_108387.1,Actinopolymorpha pittospori strain PIP 143 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae; Actinopolymorpha; pittospori; PIP 143
NR_044307.1,Actinopolymorpha rutila strain YIM 45725 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae; Actinopolymorpha; rutila; YIM 45725
NR_025086.1,Actinopolymorpha singaporensis strain IM 7744 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Propionibacteriales; Nocardioidaceae; Actinopolymorpha; singaporensis; IM 7744
NR_044194.1,[Actinopolyspora] iraqiensis IQ-H1 strain DSM 44640 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinopolyspora; iraqiensis; IQ-H1 | DSM 44640
NR_117385.1,Actinopolyspora alba strain YIM 90480 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinopolysporales; Actinopolysporaceae; Actinopolyspora; alba; YIM 90480
NR_109346.1,Actinopolyspora algeriensis strain H19 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinopolysporales; Actinopolysporaceae; Actinopolyspora; algeriensis; H19
NR_134689.1,Actinopolyspora biskrensis strain H254 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinopolysporales; Actinopolysporaceae; Actinopolyspora; biskrensis; H254
NR_117384.1,Actinopolyspora erythraea strain YIM 90600 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinopolysporales; Actinopolysporaceae; Actinopolyspora; erythraea; YIM 90600
NR_044818.1,Actinopolyspora halophila strain ATCC 27976 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinopolysporales; Actinopolysporaceae; Actinopolyspora; halophila; ATCC 27976
NR_109683.1,Actinopolyspora lacussalsi strain TRM 40139 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinopolysporales; Actinopolysporaceae; Actinopolyspora; lacussalsi; TRM 40139
NR_043996.1,Actinopolyspora mortivallis DSM 44261 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinopolysporales; Actinopolysporaceae; Actinopolyspora; mortivallis; DSM 44261
NR_119303.1,Actinopolyspora mortivallis DSM 44261 strain JCM 7550 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinopolysporales; Actinopolysporaceae; Actinopolyspora; mortivallis; DSM 44261 | JCM 7550
NR_109353.1,Actinopolyspora mzabensis strain H55 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinopolysporales; Actinopolysporaceae; Actinopolyspora; mzabensis; H55
NR_109347.1,Actinopolyspora righensis strain H23 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinopolysporales; Actinopolysporaceae; Actinopolyspora; righensis; H23
NR_109349.1,Actinopolyspora saharensis strain H32 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinopolysporales; Actinopolysporaceae; Actinopolyspora; saharensis; H32
NR_148825.1,Actinopolyspora salinaria strain HS05-03 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinopolysporales; Actinopolysporaceae; Actinopolyspora; salinaria; HS05-03
NR_117525.1,Actinopolyspora xinjiangensis strain TRM 40136 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Actinopolysporales; Actinopolysporaceae; Actinopolyspora; xinjiangensis; TRM 40136
NR_148608.1,Actinorectispora indica strain YIM 75728 16S ribosomal RNA,Bacteria; Actinobacteria; Actinobacteria; Pseudonocardiales; Pseudonocardiaceae; Actinorectispora; indica; YIM 75728
